,name,id,artist,artist_id,popularity,release_date,season
0,Lovely Day,0bRXwKfigvpKZUurwqAlEh,Bill Withers,1ThoqLcyIYvZn7iWbj8fsj,81,1977-10-29,summer
1,Dreams - 2004 Remaster,0ofHAoxe9vBkTCp2UQIavz,Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,85,1977-02-04,summer
2,Happy Together,1JO1xLtVc8mWhIoE3YaCL0,The Turtles,2VIoWte1HPDbZ2WqHd2La7,75,1967,summer
3,Brown Eyed Girl,3yrSvpt2l1xhsV9Em88Pul,Van Morrison,44NX2ffIYHr6D4n7RaZF7A,84,1967-09,summer
4,Dancing in the Moonlight,0q21FNwES2bbtcduB6kjEU,King Harvest,5FHwr1FymaS5kutIEK6e2y,72,1973-01-01,summer
5,Uptown Girl,5zA8vzDGqPl2AzZkEYQGKh,Billy Joel,6zFYqv1mOsgBRQbae3JJ9e,80,1983-08-08,summer
6,Could You Be Loved,5O4erNlJ74PIF6kGol1ZrC,Bob Marley & The Wailers,2QsynagSdAqZj3U9HgDzjD,80,1980-06-10,summer
7,My Girl,745H5CctFr12Mo7cqa1BMH,The Temptations,3RwQ26hR2tJtA8F9p2n7jG,80,1965-03-22,summer
8,You Make My Dreams (Come True),4o6BgsqLIBViaGVbx5rbRk,Daryl Hall & John Oates,77tT1kLj6mCWtFNqiOmP9H,80,1980,summer
9,Sweet Home Alabama,7e89621JPkKaeDSTQ3avtg,Lynyrd Skynyrd,4MVyzYMgTwdP7Z49wAZHx0,80,1974-04-15,summer
10,California Dreamin' - Single Version,4s6LhHAV5SEsOV0lC2tjvJ,The Mamas & The Papas,1bs7HoMkSyQwcobCpE9KpN,80,1966-03,summer
11,Summer of 69 (Classic Version),45sqV0WhglbGJswa6SiC0v,Bryan Adams,3Z02hBLubJxuFJfhacLSDc,50,2022-04-01,summer
12,Can't Help Falling in Love,44AyOl4qVkzS48vBsbNXaC,Elvis Presley,43ZHCT0cAZBISjO8DG9PnE,80,1961-10-20,summer
13,(Sittin' On) the Dock of the Bay,3zBhihYUHBmGd2bcQIobrF,Otis Redding,60df5JBRRPcnSpsIMxxwQm,79,1968,summer
14,For What It's Worth,1qRA5BS78u3gME0loMl9AA,Buffalo Springfield,3eskO5m0H4yiF64vRySBjr,78,1966-12-05,summer
15,Take It Easy - 2013 Remaster,4yugZvBYaoREkJKtbG08Qr,Eagles,0ECwFtbIWEVNwjlrfc6xoL,77,1972-06-01,summer
16,"Oh, Pretty Woman",48i055G1OT5KxGGftwFxWy,Roy Orbison,0JDkhL4rjiPNEp92jAgJnS,76,1962,summer
17,Is This Love,6JRLFiX9NJSoRRKxowlBYr,Bob Marley & The Wailers,2QsynagSdAqZj3U9HgDzjD,76,1978,summer
18,Stuck In The Middle With You,3Vby4nGmtbDo7HDJamOWkT,Stealers Wheel,7bPU7cvfoD20ixGD9Qnqki,76,1972-01-01,summer
19,Free Fallin',5tVA6TkbaAH9QMITTQRrNv,Tom Petty,2UZMlIwnkgAEDBsw1Rejkn,75,1989-01-01,summer
20,Respect,7s25THrKz86DM225dOYwnr,Aretha Franklin,7nwUJBm0HE4ZxD3f5cy5ok,75,1967-03-10,summer
21,American Pie,1fDsrQ23eTAVFElUMaf38X,Don McLean,1gRNBaI4yn6wCCTvRhGWh8,74,1971,summer
