,name,id,artist,artist_id,popularity,release_date,season
0,In the Summertime,3RNyGLgSvmVRZ7xKUp8Wgd,Mungo Jerry,2mbvqMGpwLsakeH45p1Jrb,4,1970-01-01,summer
1,The Bare Necessities,7h5crXBSY5SSpXRIlklv74,Phil Harris,2ISMfPtVzHc9jDDVPUEHDa,58,1997-01-01,summer
2,Dancing in the Moonlight,0q21FNwES2bbtcduB6kjEU,King Harvest,5FHwr1FymaS5kutIEK6e2y,72,1973-01-01,summer
3,Brandy (You're a Fine Girl),2BY7ALEWdloFHgQZG6VMLA,Looking Glass,5jJN1nmKXzRjodMl1THQeI,76,1972,summer
4,Applejack,5LOv9lyl9s4cDVCnU1lCyI,The Triangles,2bw5rZih72SFN1kYsYUPUN,0,2005-01-01,summer
5,Don't Worry Be Happy,4hObp5bmIJ3PP3cKA9K9GY,Bobby McFerrin,2FjkZT851ez950cyPjeYid,67,1988-01-01,summer
6,Mr. Blue Sky,2RlgNHKcydI9sayD2Df2xp,Electric Light Orchestra,7jefIIksOi1EazgRTfW2Pk,77,1977,summer
7,Johnny B. Goode,2QfiRTz5Yc8DdShCxG1tB2,Chuck Berry,293zczrfYafIItmnmM3coR,77,1959-07-01,summer
8,Jailhouse Rock,4gphxUgq0JSFv2BCLhNDiE,Elvis Presley,43ZHCT0cAZBISjO8DG9PnE,65,1958-03-21,summer
9,Brown Eyed Girl,3yrSvpt2l1xhsV9Em88Pul,Van Morrison,44NX2ffIYHr6D4n7RaZF7A,84,1967-09,summer
10,Down On The Corner,2gE95JskwQ1pCACTpGe1Db,Creedence Clearwater Revival,3IYUhFvPQItj6xySrBmZkd,73,1969-11-02,summer
11,Dancing Queen - From 'Mamma Mia!' Original Motion Picture Soundtrack,33trZRsRCHDPemnACBcLJJ,Meryl Streep,2HB65P72dFRiOKvbLLcil2,65,2008-01-01,summer
12,"Money, Money, Money - From 'Mamma Mia!' Original Motion Picture Soundtrack",5wiSmUpfrWBuAT6DKm2uyD,Meryl Streep,2HB65P72dFRiOKvbLLcil2,63,2008-01-01,summer
13,You Make My Dreams (Come True),4o6BgsqLIBViaGVbx5rbRk,Daryl Hall & John Oates,77tT1kLj6mCWtFNqiOmP9H,80,1980,summer
14,Jump in the Line,1zW2csx1vVJrKfvDrFQNVt,Harry Belafonte,6Tw1ktF4xMmzaLLbe98I2z,67,1961-07-21,summer
15,Escape (The Pina Colada Song),5IMtdHjJ1OtkxbGe4zfUxQ,Rupert Holmes,0TqIPD4IS1w4e30R38B3vj,73,1979-01-01,summer
16,Happy Together,1JO1xLtVc8mWhIoE3YaCL0,The Turtles,2VIoWte1HPDbZ2WqHd2La7,75,1967,summer
17,Barbara Ann,2KOt2JrCB720UxIbyzweQo,The Beach Boys,3oDbviiivRWhXwIE8hxkVV,59,1975-04-14,summer
18,Build Me up Buttercup,6g3EtZDHdvss7vmqigJCRJ,The Foundations,4GITZM5LCR2KcdlgEOrNLD,48,2017-02-19,summer
19,Spirit In The Sky - Deluxe Edition,0jvN7eQJJt4nxQzgQfZ1SP,Norman Greenbaum,7f8LNBVXN0h35veHrpxQFL,73,1969-01-01,summer
20,"Oo-De-Lally - From ""Robin Hood""",0mWXrr6HQZUhCQG4JMkT2e,Roger Miller,1RP2UpEaRzkF0Id3JigqD8,53,1988-01-01,summer
21,Twist And Shout,3uaz1Xgb5C2YqAknzko2US,The Beatles Tribute Band,0rhGLV687CCwGfeJYXd176,33,2008-03-10,summer
22,Come A Little Bit Closer,0cLZ9ecuhocv99BICMb59O,Jay & The Americans,0DAqhikcMKLo2lPADVz2fs,58,1964-11-17,summer
23,Low Rider,7Bz8yww6UMbTgTVLG6zbI4,War,3ICyfoySNDZqtBVmaBT84I,69,1975-01-01,summer
24,Southern Nights,7kv7zBjMtVf0eIJle2VZxn,Glen Campbell,59hLmB5DrdihCYtNeFeW1U,69,1977-01-01,summer
25,Sweet Caroline,62AuGbAkt8Ox2IrFFb8GKV,Neil Diamond,7mEIug7XUlQHikrFxjTWes,76,1969-06-06,summer
26,The Longest Time,5DH7nDryMhpixm4G4B7RP9,Billy Joel,6zFYqv1mOsgBRQbae3JJ9e,63,1983-08-08,summer
27,I Got You (I Feel Good),5haXbSJqjjM0TCJ5XkfEaC,James Brown & The Famous Flames,32r72WOqqRO1DtSznId7Lr,69,1966-02-01,summer
28,Love Grows (Where My Rosemary Goes),5Ts1DYOuouQLgzTaisxWYh,Edison Lighthouse,1NRzxuPpdGushT8YmF5NAa,71,1970-01-01,summer
29,Ain't No Mountain High Enough,7tqhbajSfrz2F7E1Z75ASX,Marvin Gaye,3koiLjNrgRTNbOwViDipeA,84,1967-08-29,summer
30,September,3kXoKlD84c6OmIcOLfrfEs,"Earth, Wind & Fire",4QQgXkCYTt3BlENzhyNETg,83,1978-11-18,summer
31,Our Last Summer - From 'Mamma Mia!' Original Motion Picture Soundtrack,7bFmXanwZQm6BMV9Nka6Hk,Colin Firth,451XuvAUIJfZrPOQt2AReP,65,2008-01-01,summer
32,California Dreamin',37U0SOW7pv9n2NyNmlrMRt,The Beach Boys,3oDbviiivRWhXwIE8hxkVV,42,2013-01-01,summer
33,Great Balls Of Fire,64VP3skE86iTvdOlbzuIcO,Jerry Lee Lewis,2zyz0VJqrDXeFDIyrfVXSo,69,1961-12-01,summer
34,Banana Boat (Day-O),4fHDlIntTsRGSyTg5UYZYC,Harry Belafonte,6Tw1ktF4xMmzaLLbe98I2z,67,1956,summer
35,I Get Around (Mono),3v9xlH6BpmRbqL7hgNJhfT,The Beach Boys,3oDbviiivRWhXwIE8hxkVV,64,1964-07-13,summer
36,Catch A Wave,52DbS47KnSgrkjgDkh1tvU,The Beach Boys,3oDbviiivRWhXwIE8hxkVV,34,1974-01-01,summer
37,No Particular Place To Go,3qt3ybU6MScMxMKL2TYBvt,Chuck Berry,293zczrfYafIItmnmM3coR,61,1964-11-01,summer
38,Love Really Hurts Without You,4GhtDORJiSRYxj6M1bv0vX,Billy Ocean,5IDs1CK15HegSAhGEbSYXo,69,1976-01-05,summer
39,Father And Son,19slC7k8bsPOAKDjHYLU2W,Yusuf / Cat Stevens,08F3Y3SctIlsOEmKd6dnH8,1,1970-11-23,summer
40,"Sugar, Sugar",3iSws76HjaU7k49EqJVTfF,The Archies,33QmoCkSqADuQEtMCysYLh,62,2007-11-07,summer
41,LOVE. FEAT. ZACARI.,6PGoSes0D9eUDeeAafB2As,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,81,2017-04-14,summer
42,Pursuit Of Happiness (Nightmare),5iSEsR6NKjlC9SrIJkyL3k,Kid Cudi,0fA0VVWsXO9YnASrzqfmYu,67,2009-09-15,summer
43,I Ain't Worried,4h9wh7iOZ0GGn8QVp4RAOB,OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,81,2022-05-13,summer
44,Die For You,2LBqCSwhJGcFQeTHMVGwy3,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,84,2016-11-24,summer
45,Love Galore (feat. Travis Scott),0q75NwOoFiARAVp4EXU4Bs,SZA,7tYKF4w9nC0nq9CsPZTHyP,77,2017-06-09,summer
46,I Love It (feat. Charli XCX),6HZ9VeI5IRFCNQLXhpF4bq,Icona Pop,1VBflYyxBhnDc9uVib98rw,72,2013-08-27,summer
47,Feel So Close - Radio Edit,1gihuPhrLraKYrJMAEONyc,Calvin Harris,7CajNmpbOovFoOoasH2HaY,83,2012-10-29,summer
48,BEST INTEREST,3jHdKaLCkuNEkWcLVmQPCX,"Tyler, The Creator",4V8LLVI7PbaPR0K2TGSxFF,81,2020-01-25,summer
49,Empire State Of Mind,2igwFfvr1OAGX9SKDCPBwO,JAY-Z,3nFkdlSjzX9mRTtwJOzDYB,80,2009-09-08,summer
50,Alright,5xC8uOesnn0udeXAYlAnoY,Supergrass,0sHeX8oQ6o7xic3wMf4NBU,5,1995-05-15,summer
51,El Apagón,0UvZcEfpzVyx47QsRbjyBz,Bad Bunny,4q3ewBCX7sLwd24euuV69X,66,2022-05-06,summer
52,The Hills,7fBv7CLKzipRk6EC6TWHOB,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,84,2015-08-28,summer
53,Passionfruit,5mCPDVBb16L4XQwDdbRUpz,Drake,3TVXtAsR1Inumwj472S9r4,80,2017-03-18,summer
54,Teenage Fever,6n3HGiq4v35D6eFOSwqYuo,Drake,3TVXtAsR1Inumwj472S9r4,78,2017-03-18,summer
55,Time of Our Lives,2bJvI42r8EF3wxjOuDav4r,Pitbull,0TnOYISbd1XYRBk9myaseg,83,2014-11-21,summer
56,Summertime Sadness,1Ist6PR2BZR3n2z2Y5R6S1,Lana Del Rey,00FQb4jTyendYWaN8pK0wa,73,2012-01-01,summer
57,Ocean Drive,0b6wdul3A5sQNpIOv03OxP,Duke Dumont,61lyPtntblHJvA7FMMhi7E,66,2015-07-31,summer
58,Homecoming,4iz9lGMjU1lXS51oPmUmTe,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,80,2007-09-11,summer
59,The Spins,51pshtuYkgUQnt5huMPbKL,Mac Miller,4LLpKhyESsyAXpc4laK94U,5,2010-08-13,summer
60,Money Trees,2HbKqm4o0w5wEeEFXm2sD4,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,78,2012,summer
61,Doo Wop (That Thing),0uEp9E98JB5awlA084uaIg,Ms. Lauryn Hill,2Mu5NfyYm8n5iTomuKAEHl,75,1998-08-25,summer
62,Novacane,4osgfFTICMkcGbbigdsa53,Frank Ocean,2h93pZq0e7k5yf4dywlkpM,80,2011-01-01,summer
63,Late Night Talking,1qEmFfgcLObUfQm0j1W2CK,Harry Styles,6KImCVD70vtIoJWnq6nGn3,77,2022-05-20,summer
64,Photo ID,0bhciG1J5Mn3aIfPjvHQIe,Remi Wolf,0NB5HROxc8dDBXpkIi1v3d,55,2020-06-24,summer
65,Wait a Minute!,0y60itmpH0aPKsFiGxmtnh,WILLOW,3rWZHrfrsPBxVy692yAIxF,77,2015-01-11,summer
66,Dead To Me,6LOZws7T3jqZz78unPgFF9,Kali Uchis,1U1el3k54VvEUzo3ybLPlM,73,2018-04-06,summer
67,Electric Feel,3FtYbEfBqAlGO46NUDQSAt,MGMT,0SwO7SWeDHJijQ3XNS7xEE,79,2007-12-14,summer
68,Tongue Tied,0GO8y8jQk1PkHzS31d699N,GROUPLOVE,3kVUvbeRdcrqQ3oHk5hPdx,76,2011-09-02,summer
69,Everybody Talks,2iUmqdfGZcHIhS3b9E9EWq,Neon Trees,0RpddSzUHfncUWNJXKOsjy,76,2012-01-01,summer
70,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),7Feaw9WAEREY0DUOSXJLOM,Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,70,2019-04-25,summer
71,Animal,1fBl642IhJOE5U319Gy2Go,Neon Trees,0RpddSzUHfncUWNJXKOsjy,68,2010-01-01,summer
72,Some Nights,6t6oULCRS6hnI7rm0h5gwl,fun.,5nCi3BB41mBaMH9gfr6Su0,67,2012-02-21,summer
73,We Are Young (feat. Janelle Monáe),7a86XRg84qjasly9f6bPSD,fun.,5nCi3BB41mBaMH9gfr6Su0,72,2012-02-21,summer
74,We Found Love,6qn9YLKt13AGvpq9jfO8py,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,82,2011-11-18,summer
75,Hotel Room Service,6Rb0ptOEjBjPPQUlQtQGbL,Pitbull,0TnOYISbd1XYRBk9myaseg,70,2009-08-31,summer
76,Fancy,3oiMJQAWVaxSubJ7b2VUtX,Iggy Azalea,5yG7ZAZafVaAlMTeBybKAL,67,2014-01-01,summer
77,Less Than Zero,2D4dV2KXDTszzJ3p3cFqhA,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,73,2022-01-06,summer
78,WFM,1DNA2z7Txysjk3cNz2nDLm,RealestK,35R1B97CfrqKFFI3QBkTDx,58,2021-10-06,summer
79,Good Days,3YJJjQPAbDT7mGpX3WtQ9A,SZA,7tYKF4w9nC0nq9CsPZTHyP,74,2020-12-25,summer
80,Cigarette Daydreams,2tznHmp70DxMyr2XhWLOW0,Cage The Elephant,26T3LtbuGT1Fu9m0eRq5X3,80,2013-10-08,summer
81,Guilty Conscience - Tame Impala Remix,5i5fCpsnqDJ9AfeObgd0gW,070 Shake,12Zk1DFhCbHY6v3xep2ZjI,51,2020-07-24,summer
82,Eventually,5M4yti0QxgqJieUYaEXcpw,Tame Impala,5INjqkS1o8h1imAzPqGZBb,74,2015-07-17,summer
83,Talk Too Much,4djIFfof5TpbSGRZUpsTXq,COIN,0ZxZlO7oWCSYMXhehpyMvE,66,2017-04-21,summer
84,Ribs,0TEekvXTomKt3hdXDZxxeW,Lorde,163tK9Wjr9P9DmM0AVK7lm,0,2013-01-01,summer
85,Mr. Rager,2ncLdwTd8qzkxiJjlbiOgC,Kid Cudi,0fA0VVWsXO9YnASrzqfmYu,69,2010-01-01,summer
86,Enter Galactic (Love Connection Part I),0ujsBQIHVikzdQOekiu5gS,Kid Cudi,0fA0VVWsXO9YnASrzqfmYu,52,2009-01-01,summer
87,Slide (feat. Frank Ocean & Migos),7tr2za8SQg2CI8EDgrdtNl,Calvin Harris,7CajNmpbOovFoOoasH2HaY,75,2017-06-30,summer
88,waves - Tame Impala Remix,3lB0GMiI5KxDbTOG8V3bOx,Miguel,360IAlyVv4PCEVjgyMZrxK,62,2016-02-26,summer
89,911 / Mr. Lonely (feat. Frank Ocean & Steve Lacy),4bEcoz1OcfMgUbp2ft8ieQ,"Tyler, The Creator",4V8LLVI7PbaPR0K2TGSxFF,71,2017-07-21,summer
90,Electric Love,2GiJYvgVaD2HtM8GqD9EgQ,BØRNS,1KP6TWI40m7p3QBTU6u2xo,77,2015-10-16,summer
91,Long Time - Intro,4IO2X2YoXoUMv0M2rwomLC,Playboi Carti,699OTQXzgjhIYAHMy9RyPD,72,2018-05-11,summer
